rating,comment
bintang 5,barangnya lengkap sesuai deskripsi.. thanks
bintang 3,suara kurang
bintang 5,Keren sih ini pas banget di telinga dan suara mantapp
bintang 1,"bubble warp cuma 1 lapisan, baru dibuka kemasan sudah rusak, tutup power bank copot sebelah ( walau masih bisa diperbaiki ) mungkin karena beli pas flashsale, tapi saya y..."
bintang 5,sesuai pesanan pesanan cepat sampai
bintang 4,fast respon kurir ok pelapak ramah. kualitas rumayan jika digunakan untuk pb hanya bertambah 7% sja dan hedsetnya batrainya baru dipakai cepat hbs
bintang 5,bassnya nampol. gk sember biar kate bass equalizer offside. kirimnye kilat ⚡ secepat mantang ilang
bintang 5,Alhamdulillah barang sudah sampai berfungsi baik dua-duanya terima kasih
bintang 5,"sesuai dengan harapan ,goooood"
bintang 5,sudah beli ke dua kali harga murah dan bagus berfungsi dgn baik semoga awet
bintang 4,Karet Pengganti nya gak di ikut sertakan
bintang 4,secara kemasan dan packing rapih aman dan baik ..cuman pas dibuka ada yg pecah 1...tp berfungsi dengan baik
bintang 5,mantab lah....harga murah tapi kualitas melebihi ekspektasi dari yang bakal didapet....next mungkin bakal upgrade nih ....
bintang 5,"packing nya aman, sampe sesuai estimasi waktu nya, sesuai dengan deskripsi, suara nya juga oke, ada buku panduan nya juga, semoga bisa bertahan lama"
bintang 5,seller fast respon.. pengiriman cepat. suara bagus
bintang 4,RESPON CEPAT KIRIM CEPAT TAPI JANGAN BERHARAP BANYAK FERGUSO..KARENA GAMBAR TDK SESUAI KENYATAAN
bintang 5,guud....
bintang 5,brg ok cuma exp lama banget sampai gara2 discon ongkir
bintang 5,lampu indikator status batre kecil ternyata... tidak seperti digambar... barang berfungsi dengan baik... recommended...
bintang 1,"beli f9-47 ga bisa di pake di cas juga ga bisa, udah komplain tapi ga di bales"
bintang 5,Barang Sesuai Pesanan Penjual Ramah & Respon Express Trima Kasih BossKu Sukses Selalu....
bintang 4,packing aman dan cepat delivery nya.
bintang 5,"suara nya lumayan bagus, ngebas suaranya"
bintang 5,ok
bintang 5,bagus batlrangnya trima kasih
bintang 5,headset nya lumayan cuma kalau di pakai lama bikin sakit telinga
bintang 5,"packing rapi, lumayan lah sesuai harga"
bintang 5,sesuai order
bintang 4,"Ditest dengan menyambungkan ke hp melalui bluetooth tapi belum connect. Sementara diisi dulu dayanya, mudah-mudahan bisa connect."
bintang 5,mantep jernih suaranya
bintang 4,cukup lah... semoga berfungsi...
bintang 5,keren buat bocil akil namanya
bintang 3,sebelah kanan touchscreen tidak fungsi.
bintang 5,"terimakasih , manteb banget"
bintang 5,packing aman. berfungsi baik
bintang 4,sudah sampai dgn baik... kualitas barang lumayan sesuai harga berfungsi dgn normal -minus Engsel Renggang
bintang 5,kualitas bagus
bintang 5,pesanan diterima dengan baik
bintang 1,Suka mati sendiri
bintang 1,batre cepat habis sama bloetoot putus putus sebelah.
bintang 5,Suara kurang ngebass tapi gapapa sesuai harga 👍
bintang 5,barang bagus dan tidak ada yang rusak
bintang 5,Worth the price and quality. Not bad. Recommended for low budget
bintang 5,barang oke meskipun kabel bawaan ga jalan buat cas tapi overall suara segitu oke lah
bintang 5,Alhamdulillah bagus
bintang 5,barang sesuai ekspetasi Terima kasih!
bintang 2,"tutupnya ngampleh, barang jelek parah, dusnya penyok"
bintang 5,barang sdh sampai mantab fungsi semua terimakasih toped
bintang 2,"wadah earbuds tanpa dicas gabisa dibuat cas earbuds, dan yang kayanya bisa dibuat pb juga ternyta fake, lumyan waduh si"
bintang 5,"suaranya bagus banget, sesuai sama harganya"
bintang 5,mantapp suara jernih walau gk terlalu ngeBass but not bad
bintang 5,"Barang sesuai order, packingan rapi, dan pengiriman jg cepat. Recommended seller"
bintang 5,mantap jiwa
bintang 5,mantap barangnya
bintang 5,"rapi packingnya. produknya bagus, sudah dicoba, bass nya lumayan, suaranya jernih, tp kalau dibawa naik motor sih suka putus² sinyalnya, padahal lagunya off. tp lumayan l..."
bintang 5,"Sesuai deskripsi, tau dari review bang david gadgetin"
bintang 5,"pengiriman lebih cepat sampai dari pada estimasinya, suaranya mantap"
bintang 5,"Sesuai estimasi, Adminnya ramah menjelaskan cara menghidupkannya best pokoknya"
bintang 5,"barang diterima dengan baik dan tepat waktu. earphone bagus dan berfungsi baik sebagaimana deskripsi, testing jarak 10 meter masih berfungsi bagus. terimakasih ya"
bintang 5,"pelayanan nya ramah dan respon nya juga cepet,barang nya bagus enak kalo buat main game👍"
bintang 5,"Wkwkwk lucu banget 50rbuan dapat tws dan ternyata work juga fiturnya kayak tombol sentuh meskipun kadang ganggu tiba-tiba kepencet masuk ke Google, tapi oke lah bentuknya..."
bintang 5,sudah di coba bagus semoga awet
bintang 5,"Pacing kurang safety... Baterai TWS nya hanya bertahan 2 jam dipakai dengerin musik, Over all lumayan lah untuk harga segitu. thx."
bintang 3,packingnya bermasalah
bintang 5,iya
bintang 5,mantap nih
bintang 5,semoga awet
bintang 5,barang aman bisa dipakai buat dengerin udah oke dengan harga segitu worth to try
bintang 5,"Pemakaian satu bulan lebih, kualitas oke banget untuk harga segitu, mantap gan 👍"
bintang 5,"oke,barang sampe dengan aman"
bintang 5,"mantap, produk F9 berfungsi dengan baik, suaranya clear dan enak di telinga."
bintang 5,mantap kerenn
bintang 5,top. langganan pinzy
bintang 5,"respon cepat tks seller, toped, n pak kurir."
bintang 5,"barang oke, pengiriman oke, terima kasih ya 😄"
bintang 3,"lampu tidak nyala, powerbank tdk berfungsi"
bintang 4,delay dikit
bintang 4,bentuk nya ga sama kaya di foto cesan nya ga masuk ke hp
bintang 4,kualitas mantul
bintang 5,Dengan harga segini sih udah oke banget
bintang 5,bagus mantap
bintang 5,"barang sudah diterima dengan selamat dan sdh di coba mantap poll, kemasan rapi kurir ramah dtg tepat waktu pokoknya mantap puolll dah"
bintang 5,so far so good
bintang 5,"tampilan bagus, charge berfungsi, dapat kabel charger, suara kurang utk telinga emas pemain audio, cukup utk penikmat game"
bintang 1,"Saya baru pertama kali belanja online , kasih bintang satu saking greget nya . ya walaupun jual barang KW dan murah , janganlah sampe ga memperlakukan dengan baik costume..."
bintang 5,"kotak barang penyok, tapi barang masih ok"
bintang 5,all siiip
bintang 5,barang aman cuma kurirnya lelet
bintang 5,"Terbaik No Debat, fix barang sesuai dengan harga dan tidak ada cacat serta berfungsi dengan baik"
bintang 5,kualitas produk sangat baik
bintang 5,keren
bintang 3,yg satu heandsetnya eror kk maaf 🙏🏻🙏🏻🙏🏻
bintang 4,"pairing ok cm namanya kok T5 bukan T11.. tapi bs pairing sih.. lumayan lah, ndak putus².. tapi entah earbud nya yg gede atau lubang telinga saya yg kecil.. kl ga dipegang..."
bintang 5,Cocok dan pas
bintang 5,"bass mntep,mks seller"
bintang 4,"setelah di gunakan selama 2 bulan masih bagus dan suara tergolong ok meskipun Toch sensor untuk sebelah kanan sudah di tidak berfungsi karena memang kesalahan saya, untuk..."
bintang 3,Barang sudah sampai tetapi... headset yg sebelah kiri gaada suaranya 🙃
bintang 5,pesanan sudah diterima sudah dites dan berfungsi dgn baik thanks ya
bintang 5,mantap
bintang 1,"gajelas barang nya, baru di cas langsung penuh, pakai 5 menit mati sendiri, cas lagi 1 menit full 🤣🤣 kacau.. sesuai harga juga sih 55.000 🤣🤣"
bintang 5,terimakasih paket sudah sampai..lumayan suaranya
bintang 5,kurang puas sih . suaranya ilang2an yg kiri
bintang 5,"alhamdulillah barangnya sudah sampai dan semuanya berfungsi dengan baik, Terima kasih min."
bintang 5,"suaranya lumayan,mantap lah"
bintang 5,"Kualitas barang dan juga pelayanannya bagus, pertahankan terus."
bintang 1,"orang nanya cuma di read, malah kelanjutannya ga di read sama sekali. BARANG RUSAK KOK DIJUAL!"
bintang 5,"harganya murah, suara ok, semoga awet"
bintang 5,"Bekerja dengan baik, bisa dicharge, sayangnya earphone kiri dan kanan beda volume. Yang kanan lebih keras & jernih, yang kiri suaranya mendem dan jauh lebih pelan. B..."
bintang 3,kualitas pengisian baterai nya kurang baik
bintang 3,"Kualitas suaranya kurang. Masih kalah dengan earphone pakai kabel seharga 50ribuan yang saya pakai sekarang. Audio Low freq (bass) hampir tidak terdengar, dan kalaupun te..."
bintang 5,"Lumayan top 👍, harga segini, desain jg ok, versi M30 berfungsi normal semua cm pinter2nya set equAliser karena bass terlalu bigdoor, 😁"
bintang 5,Barang cepat sampai. packing rapi. .. kualitas ok lah sesuai harga.
bintang 4,"bgus,pengiriman cepat tp yg kiri kurang ngepas di kuping padhl udh coba ganti busa nya juga ttp aja"
bintang 5,respon cepat. kirim cepat. barang berfungsi. ok
bintang 5,👍👍
bintang 5,"Overall Barang Bagus Sesuai Pesanan, Awet Terus Barang nya, Sukses dan Berkah Slalu Buat Sellernya 👍☕"
bintang 5,fungsi dengan baiqqq
bintang 5,nyala coy bapak saya jadi seneng deh
bintang 5,lumayan lah
bintang 5,Packing nya rapi & responnya cepet
bintang 5,"alhamdulillah barang sudah sampai, semua fitur bekerja dengan baik, suaranya juga lumayan lah untuk harga di bawah 100 ribu, semoga headsetnya bisa awet."
bintang 5,bagus banget barang nya.. mantapp sekali.. recomended seller.. lanjutkan...mantapp jiwa
bintang 5,"barang cepat sampai, kondisinya bagus semoga awet"
bintang 5,"pengiriman cepat sehari sudah sampai, barang sesuai pesanan rapi, semoga bermanfaat dan awet, terimakasih"
bintang 5,fast respon seller. recomend. barang sesuai pesanan. bagus
bintang 4,lumayan tp kdg keluar bunyi kresek2
bintang 2,"untuk satu headsetnya susah banget buat dimatiin dengan jari, tempat charging dock tws nya juga kalo gerak dikit otomatis nyala headset di dalam charging dock nya, yaah m..."
bintang 5,Bagus dan batrenya awet ga cepet abis
bintang 3,kemasannya rusak tws nya juga rada kurang nyaman tpi lumayan
bintang 5,Pembelian kedua.. berfungsi dgn baik
bintang 5,mantap
bintang 5,keren...
bintang 5,"Barang bagus, packing aman, pengiriman cepat, semoga sukses"
bintang 5,penanganan yg baik dari penjual
bintang 5,barang sesuai pesanan Alhamdulillah berfungsi dengan baik
bintang 5,makasih kak barang bagus udah diterima baik pengiriman cepat toko amanah kurir baik 👍👍👍👍👍👍
bintang 3,"rusak sebelah, tws hidup tapi yg sebelah kiri tidak ada suaranya, hanya sebelah kanan yang mengeluarkan suara"
bintang 5,"barang sampai dengan selamat, berfungsi dengan baik."
bintang 5,"Alhamdulillah, paket sudah tiba di tujuan, ku kira akan sampai malam rupanya tidak. Packing nya bagus x rapih, barang aman, pengiriman juga sesuai apa yg ku kira, suara e..."
bintang 5,"Murmer pisan, kualitas hade"
bintang 5,alhamdulillah berfungsi dengan baik
bintang 5,Mantap dengan harga segitu. Cukuplah harga segitu jangan banyak ekspetasi
bintang 5,mantap asli nage
bintang 5,"top, budget tapi high quality lumayan lah~"
bintang 5,keren
bintang 5,Semoga awet
bintang 5,"Alhamdulillah mendart dengan amn,,untuk harga segini cukup bagus barngnya,,"
bintang 5,Barang sesuai pesanan
bintang 2,"pesanan pertama ga sesuai terus penjualnya ga bales"" chatnya"
bintang 5,bagus
bintang 5,"kualitas suaranya bagus, ukuran kecil tapi pas di kuping, tidak ada noise dari luar, batrai tidak cepat habis."
bintang 5,barang sesuai dengan deakripsinya
bintang 1,****** orang gw cancel pesanan karena mau milih tipe yang laen malah dikirim yang ini seller kocak takut rezeki lu ilang apa gimana? kapok dah
bintang 5,"packingnya aman, pengiriman lumayan cepat, dan TWS nya berfungsi dengan baik 👍"
bintang 5,"Barang sampai dengan aman,moga jh awet🙏🏻"
bintang 4,mantap cma agak lama ngirimnya
bintang 5,barang ok cm bas nya kurang aja..standard..
bintang 5,"Sangat recommend sekali, seller respon sekali, tanggap, ramah, konsisten, mantap banget pokoknya, dapat harga bersaing dengan yang lain, apalagi grab it fast.. sering-ser..."
bintang 5,"Barang sudah diterima dan bagus sesuai pesanan, cuma pengiriman terlalu lama"
bintang 5,bagus
bintang 5,Bagus audio
bintang 5,dapat berfungsi dengan baik
bintang 4,"Untung kualitas standarlah sesuai sama harga, sejauh ini gada kendala dan semoga aja gada. Cuma bungkusnya aga sedikit kurang aman aja jadi aga sedikit penyok dus nya, da..."
bintang 5,Keren. bagus pokoknya...
bintang 5,"pesan Sabtu Pagi, tiba Minggu Sore, packegin wajar, kualitas Headset ya bagus, seller responsif."
bintang 1,"TWS tidak bisa di gunakan jadi sampah aja, semoga berkah"
bintang 5,sesuai pesanan... berfungsi dgn baik... thanks...
bintang 4,thank kurir mas agus
bintang 5,bandingkan hasilnya
bintang 5,Bagus sesuai dgn pesanan puasssssss
bintang 4,"Suara bagus, namun battery life nya singkat bgt kalau dibandingin sama TWS lain, tapi worth it lah untuk harganya."
bintang 2,"mungkin lagi ga hoki aja, paket sudah sampai dikota tujuan tapi kurir gak nganter2.. kapok pake kurir itu. pas paket dibuka udah penyok dalemnya, dibuka dicoba terus pas..."
bintang 1,barang datang sudah dalam keadaan rusak yang dimana bagian sebelah kanan tidak dapat berfungsi dan terhubung dengan handphone saya. saya sangat kecewa dengan kualitas bar...
bintang 5,Alhamdulillah barang sampai dengan selamat
bintang 4,naise
bintang 5,not bad
bintang 5,"barang ok, pengiriman cepat"
bintang 2,"Dari barang setelah saya coba dua TWS ini, saya menemukan perbedaan. Meskipun barang berfungsi dengan baik namun secara suara di satu device TWS ini mengalami masalah kar..."
bintang 5,"terima kasih, packing aman,dan barang kualitas baik"
bintang 5,berfungsi dgn baik 👍
bintang 5,"di terima sesuai estimasi waktu,, baru di coba,, semoga ,,awet kwalitas sesuai harga."
bintang 5,suara bass mantap
bintang 5,bagus sesuai sama harga nya
bintang 5,baterai awet & suara cukup baik
bintang 1,"Untuk harga 60rb sangat tidak worth it, suaranya kecil"
bintang 5,"Barang sesuai dengan pesanan,, terima kasih,,"
bintang 4,"TWS ini bagus, fitur yang ditawarkannya juga banyak tidak seperti TWS lain di harga yang sama. FITUR: Fiturnya antara lain 1 kali ketuk stop/pause, 2 kali ketuk untuk gan..."
bintang 5,"Pembelian yg Ke2x diToko ini, sesuai Pesanan Barangnya, pas lobang telinga, Suara Ngebas ok, Tahan Baterai Headset 3-4Jaman.. thans seler"
bintang 1,Tidak fungsi
bintang 1,Bagian sebelah kirinya mati udah di coba isi batry 1 jam masih mati
bintang 5,"suara sdh cukup baik, nyaman digunakan dan baterainya awet banget"
bintang 5,barang sesuai dengan yang difoto mantappp
bintang 5,mantapppp👍
bintang 3,"setelah dibuka, kotaknya robek2 dan ada tulisan seperti di foto. mudah2n berfungsi dengan baik dan awet"
bintang 4,"pembelian ke 2 , mantul mantab betul tul tul"
bintang 5,"Suaranya enak, berfungsi dengan baik"
bintang 5,"Bagus sih di android, cuman ternyata kalau di ipohone disconect terus"
bintang 5,sesuai dengan deskripsi produk
bintang 5,ba ja
bintang 4,"barang sudah diterima dengan baik, pengiriman cepat kurirnya ramah"
bintang 5,pengen beli lagi tapi gada duit
bintang 5,mantappppppp 👍👍👍👍👍
bintang 5,abisssss
bintang 1,"order f9-5 yg dateng f9,males ngembaliinnya,kalo mau kirim cek dulu pesanan jangan asal kirim"
bintang 4,so far barang ok. semoga selalu ok.
bintang 5,"murah tapi suaranya bagus, oke lah"
bintang 5,packing aman..barang berfungsi dengan baik
bintang 4,rada cempreng
bintang 4,packing aman. kualitas suara bagus tp sedikit bermasalah sambungan bluetoothny jk jauh dr HP.. So far so good...
bintang 5,bagus banget keren ada tulisan battery tinggal berapa terus bisa buat power bank lagi.. suaranya enak buat dengerin lagu tapi untuk smulean masih agak delay but overall o...
bintang 4,"Alhamdulillah paket datang dengan selamat, Semoga bermanfaat.."
bintang 5,"Packingnya mantep, kecil2 di kasih bubble warp. Estimasi tiba sesuai jadwal. Kualitas barang ok. Untuk harga segini ada bassnya mantep"
bintang 3,pairing tapi bunyi sebelah
bintang 5,kualitas oke
bintang 5,ga pake bubble warp packingnya tetap aman sampai dengan selamat selama pemakaian 3 Hari aman aman ajah
bintang 5,"Packing aman, tws berfungsi, display LED tws pun bagus. Suara standar. Cuma sayang, headsetnya kebesaran di telinga"
bintang 5,"Kualitas sebanding dengan harganya yang murah, suaranya sember di frekuensi menengah jadi bass dan terblenya agak kurang. baterainya awet. buat gua tws ini kualitasnya sa..."
bintang 5,simple'pas dipakai buat telp
bintang 5,bagus suara mantep cuman kurang nyaman aja wajar ada harga ada rupa
bintang 1,"saya sudah pakai bluetooth headset sejak 6 tahun lalu .. udh lumayan hafal segala urusan perbluetoothan .. barang ini mati sebelah (yg kanan) ga bs di kutak katik, (yg k..."
bintang 5,"Alhamdulillah produk sesuai ekspetasi 🤟, best sellernya lah, meskipun pengiriman terkendala karna Lebaran 🥲 ."
bintang 5,kerenn walau packing nya rada penyok dikit wkwkwke
bintang 5,"barang ori , sesuai deskripsi seller responsif batang berfungsi dengan baik"
bintang 1,yang hidup cuma sebelah
bintang 2,"nyala sebelah 4nj tp kualitas suara ok lh TP PGIRIMAN LAMA BET, maklum lah hrga sgitu"
bintang 3,"agak lama ngirimnya, sama kurang awet aja baterainya"
bintang 5,sangat bagus
bintang 5,lumayan untuk harganya
bintang 5,Bagus barangnya sesuai dan berfungsi dengan baik
bintang 1,"beli hendset tp ga ada hensetnya, cuma ada casan sama tempatnya aja, maaf ga ada foto atau video soalnya udah senang duluan"
bintang 5,"blm dicoba, minimal pengiriman termasuk cepat"
bintang 5,"Keren, murah tapi bagus"
bintang 5,"Pengiriman cepat, packagingnya rapi dan barang sesuai deskripsi. Untuk suara tidak terlalu ngeba, ya sesuai dengan harganya"
bintang 5,kualitas bagus
bintang 5,"Alhamdulillah berfungsi dgn baik,mudah2an awet"
bintang 5,barang sdh sampai berfungsi dgn baik. semoga langgeng.
bintang 1,barang yang kami pesan 4 biji yang di kirim cuma 1....hati2 dengan toko ini penipuan... jangan sampai tertipu di toko ini....
bintang 1,"earphone sebelah kirinya mati tidak berfungsi, gimana ini"
bintang 5,"Selama ini berfungsi dengan baik, buat alternatif hs ke 3 atau 4 yang saya miliki jika saya bosen sama hs lainnya."
bintang 5,"packing bagus, kualitas bagus bngt padahal harga murah"
bintang 5,sesuai pesanan packinag aman pengiriman cepat tp lom.di coba tq
bintang 2,"yg 1 berfungsi yg 1 nya tdk ngisi saat d cas,padahal kalo sepasang berfungsi sebenarx lumayan keren sih"
bintang 5,"respon penjual bagus, kurir bagus, barang sesuai etalase dan bagus, terimakasih"
bintang 5,barangnya bagus
bintang 4,Mantap sii cma kadang suka putus2 sndiri
bintang 3,"Bisa pairing, tapi pas konek ke hape gabisa play media dua duanya. cm bisa salah satu hadeh"
bintang 5,Baranya bagus pokoknya mantep dah Tokopedia
bintang 5,jossss
bintang 5,makasih seler paket nya dah sampai semoga sukses selalu
bintang 5,Nuhun
bintang 5,barang bagus
bintang 5,bass nya mantapp
bintang 5,packingnya cepat dan barangnya berfunhsi
bintang 5,"paking aman ,barang ok sesuai gambar etalase"
bintang 4,"barang sampai dgn selamat tidak ada lecet, suara lumayan jernih, semoga awet untuk kedepannya, sukses terus dan lancar dagangannya 🔥🔥"
bintang 5,barang nya sampai dengan selamat dan bagus juga kualitas barang nya. puas rasanya setelah menunggu beberapa hari
bintang 5,"Proses super cepat, pendirian cepat, packing rapi dibungkus bubble wrap, barang sesuai order tapi belum dicoba."
bintang 5,"packing aman, cepat , barang kualitas...good"
bintang 4,packing ok..cuman dus nya agak penyok..untuk suara agak sember.. ya sebanding harga nya ..
bintang 5,overall okey dengan harga segitu kualitas lumayan sih
bintang 4,gud
bintang 5,response cepat
bintang 5,"Barang bagus sesuai pesanan, proses cepat 👍"
bintang 4,kasih 4 dl belum dipake full.. so far suaranya mantep. thx
bintang 1,sebelah kiri rusak
bintang 5,"baguss. suara kenceng, batre cpt dicharge. cuman untuk input suara agak kurang misal dibuat telfon. but overall dgn harga segiru udh bagusss"
bintang 5,"mantuuuuuuul.......joooos, M30 bass brasa"
bintang 5,bagus bngt
bintang 5,sedang dcharge dulu... design n indikator digitalnya keren... semoga berfungsi....
bintang 5,oke
bintang 5,"Barang aman, udh dicoba dan hasilnya wahh banget"
bintang 4,Suara lumayan lah pas untuk harganya tp batrenya kurang durable cuma bisa pake 2 jam'an
bintang 5,mantap barang nya
bintang 5,"Mantap Min, barang sampai dengan selamat."
bintang 5,Barang pesanan saya sudah saya terima dengan baik dan aman. TWS berfungsi dengan baik. Ketahanan baterai sangat baik. Dari kondisi 100% saya pakai sekitar satu jam seteng...
bintang 3,headset nya mati sebelah
bintang 5,packing oke barang sesuai pengiriman cepat.
bintang 5,barang OK.
bintang 5,terima kasih barang sudah diterima sesuai order dan deskripsi...semoga awet!
bintang 3,gambar berbeda
bintang 4,Alhamdulillah puas meskipun batreny urang awet..... mantaplh untuk harg segini
bintang 3,"barang sampai dengan selamat, cuma kardus pada penyok.. isi mudh2an tidk ada masalah."
bintang 5,"trimakasih barang sudah sampai, semoga berfungsi dengan baik.... belum di coba baru saya mulai coba charge dulu.."
bintang 1,Headset bluetooth nya cepat lowbat. Dari 100% sampai 0 nggak sampai 15 menit
bintang 5,"Saya kira barangnya agak besaran dikit, ternyata kecil unyu unyu ... good lah untuk suara bergungsi dengan baik, semoga aja batrenya awet seharian karena buat ngojek . s..."
bintang 5,kualitas barangnya ok harganya ok
bintang 5,terima kasih
bintang 5,"bagus kelihatannya semoga awet yh, terima kasih semuanya"
bintang 4,"Bagus earphonenya, tapi powerbanknya bocor"
bintang 5,Produknya tidak mengecewakan. Pelayanan bagus. Harga kompetitip. Rekomendasi beli👍
bintang 5,mantap sesuai dengan pesanan dan semoga bermanfaat dan terima kasih banyak kakak 🙏
bintang 1,barang tidak bisa di pakai
bintang 5,cepat smpainya tks sdh tiba dgn selamat..tpi blom dicoba mudh2an awet
bintang 5,mantap
bintang 5,bagus untuk pemakaian 1 bulan. kesana nya mudah rusak
bintang 5,diterima dan berfungsi dgn baik
bintang 3,"tidak ada kendala awalnya. Saat seminggu di gunakan , tiba tiba tidak bisa di cas dan led mati mati total, padahal yang pembelian sebelumnya fine fine aja walaupun udh 3..."
bintang 5,mantull....
bintang 5,bintang yg berbicara
bintang 5,pengiriman cepat' barang ok...dua2'nya berfungsi dengan baik 👍
bintang 5,Terima kasih admin
bintang 5,berfungsi baik. all is worked. kualitas suara sesuai harga.
bintang 5,nice
bintang 5,Berfungsi dengan baik 🙏
bintang 5,pengiriman cepat dan paket sesuai pesanan.. mantaap TWS murah tapi suaranya mantaap sekali dan baterai nya pun awet.
bintang 5,kalau ada yg murah dan kualitas bagus knp enggak
bintang 5,"barangnya oke, ternyata tempat headsetnya lumayan gede jg ya"
bintang 1,Kecewa Barang tidak sesuai gambar
bintang 5,suaranya mantap
bintang 5,"barang sesuai, harga murah , kualisas mantep juga"
bintang 5,"berfungsi dengan baik dan suaranya mantap, adem di telinga."
bintang 5,Packing bubble rapi. Headset udah dicoba dan berfungsi semua dengan baik. Kualitas suara Ok. Bisa berfungsi jg sebagai power bank.
bintang 4,"packing aman, barang mulus, cuma pas dipake mutar musik suara putus putus"
bintang 5,"Pengiriman Cepat, Packing Mantab bagus Rapih Good Seller and Sicepat"
bintang 5,kecil2 suaranya cukup oke
bintang 5,okey laaaah buat dengerin musik👍
bintang 5,"berfungsi normal, sesuai pesanan."
bintang 1,barang belum di terima jd ga tau kualitas nya bagaimana 👎🏻
bintang 4,👍
bintang 5,"Mantep si, mesen jam 3 an sore, besoknya Dateng jam 10 an pagi, klo buat suara nya ya lumayan enak, tergantung orangnya juga Daya tahan baterai nya awet juga"
bintang 5,sampai yeaay
bintang 5,mantapppppp
bintang 5,Bagus worth it banget untuk harga dibawah 100ribuan!
bintang 5,berfungsi dengan baik
bintang 5,berkualitas dan harga terjangkau
bintang 5,"barang bagus, berfungsi . pas di kuping 👍😊"
bintang 4,"packing nya oke, cm barangnya dr 2 pack ada 1 yg mati sebelah"
bintang 5,"bagus barang nya, suara mantaaappp"
bintang 5,"Dicoba dlu, semoga bagus"
bintang 5,joss gandos
bintang 5,packaging bagus karena ditutupi dengan bubble warp. Suaranya bagus untuk harga segini
bintang 3,headset yg sebelahnya batrenya lowbet..cepat abis
bintang 4,"Brng sesuai spec, hanya kadang suara putus2 saat on / nyala."
bintang 5,"barang sesuai, respon cepat, pengiriman tepat waktu"
bintang 5,Pengiriman cepat. Produk ok. Semoga tidak ada kendala selama pemakaian.
bintang 5,"penjual fast respond, barang sesuai dengan yang di tampilkan"
bintang 5,"untung gk dibatalin otomati kaya toko sebelah 😅 kualitasnya lumayan lah ya, cuma masih sedikit bingung sama touch control nya 😅"
bintang 5,Barang bagus.... Pengiriman cepat...
bintang 5,👍
bintang 5,"bagus, suara standar, cuma kemasan aja penyok, pengiriman cepat"
bintang 5,"mantap, barang rekomendasi dr yutub suara overall enak,,bassy + treble garing vocalnya agak basah build quality agak agak ringkih tapi finishing solid parah 4/5"
bintang 2,"Headset kiri tidak menyala, di charge pun tidak mau respon"
bintang 5,Ngeriiiiiiii 🫰
bintang 5,"barang sudah diterima sesuai dgn pesanan, kondisi oke dan berfungsi baik.. terima kasih"
bintang 5,udah diterima kak berfungsi dengan baik tq
bintang 5,bgus dan cpt datangnya
bintang 5,kerennnn
bintang 5,"respon cepat,semoga bisa ke pake awet"
bintang 5,berfungsi dgn baik.sdh di coba.. pengiriman cepat
bintang 4,"Gue kasih bintang 4 karena secara packing barang masih kurang bagus & berpotensi rusak saat ekspedisi. Kalo urusan barangnya, sejauh ini gaada problem. Suaranya bagus..."
bintang 5,Harga Becanda Barangnya Gilaaaaa Harga segini kualitas Suaranya bisa ngimbangin TWS saya yang harga 300rban wkwkwk Cuman belum di test ketahanan Batrai nya Murah sih ini...
bintang 5,"melebihi ekspektasi. kecil2 cabe rawit. suara kencang, harga bersahabat"
bintang 4,battery tahan lama
bintang 5,nice.. barang berfungsi dg baik
bintang 5,"Barang oke, dan juga bagus👍 Recommended pokoknya"
bintang 5,"barang sampe gan cepet banget pengirimannya,barangnga sesuai sama yang di foto bagus"
bintang 4,"bagus, cuma sebelah kanan tidak bunyi/keluar suara"
bintang 5,sesuai pesanan & berfungsi baik
bintang 5,"pekingnya aman, pengiriman cepat. produknya jg bagus👍👍🥰🥰"
bintang 5,barang cepet sampe dan sesuai dengan yg dipesan tks gan
bintang 5,terimakasih untuk seller semuanya baran Ki terima dengan baik aman dna dan berfungsi. semoga tetpa lancar da sukses selalu
bintang 5,"seriusan ini m90 produk nya diluar ekspetasi, gw kira bakal biasa aja ternyata suara yang di hasilin bagus bgt dan ini beneran ada indikator batre nya tapi gak keliatan k..."
bintang 4,tidak ada pemberitahuan baterai charge sudah berapa.
bintang 5,"paking nya rapi, barang sampai dengan selamat, suka bgt"
bintang 5,ok berfungsi
bintang 4,ok sih cuman isi bingung part f9 tapi s9
bintang 5,mantab
bintang 5,sudah dicoba. Bagus suaranya. TOP. hanya saja ukuran nya agak gede utk telinga ku
bintang 5,"barang sudah sampai ,tapi belum di coba ,semoga awet aja respon cepat pengiriman cepat ,mantap"
bintang 5,"maaf telat ulasannya, produk mantap, berfungsi baik, murah tapi gak murahan, terima kasih"
bintang 5,"pengiriman cepat, barang bagus, mantap"
bintang 4,"headset yang sebelah kiri agak kurang cocok rasanya waktu dimasukan ke telinga, sudah saya ganti ukurannya tapi tetap sama selain itu bagus semua 👍"
bintang 4,"barang sudah sampai, saat dipakai suaranya juga setara dengan harga, kadang-kadang agak susah konek ke bluetooth PC"
bintang 5,"keren, sesuai expektasi cuma yg sebelah kiri agak sedikit keluar tombolnya gk nempel banget, over all puas 🥰"
bintang 5,mantap
bintang 3,"suaranya yang kiri kecil dan pecah, untungnya yang kanan bagus jadi saya kasih bintng 3 aja"
bintang 5,mantap sesuai harga
bintang 5,"barangnya bisa digunakan, semoga tahan lama"
